yourlist:M202205025BF3C56A578D7D6DFD1FC81EE5DA77304BFA55N	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
O14684	O14684	PTGES_HUMAN	reviewed	Prostaglandin E synthase (EC 5.3.99.3) (Glutathione peroxidase PTGES) (EC 1.11.1.-) (Glutathione transferase PTGES) (EC 2.5.1.18) (Microsomal glutathione S-transferase 1-like 1) (MGST1-L1) (Microsomal prostaglandin E synthase 1) (MPGES-1) (p53-induced gene 12 protein)	PTGES MGST1L1 MPGES1 PGES PIG12	Homo sapiens (Human)	152
O95396	O95396	MOCS3_HUMAN	reviewed	Adenylyltransferase and sulfurtransferase MOCS3 (Molybdenum cofactor synthesis protein 3) (Molybdopterin synthase sulfurylase) (MPT synthase sulfurylase) [Includes: Molybdopterin-synthase adenylyltransferase (EC 2.7.7.80) (Adenylyltransferase MOCS3) (Sulfur carrier protein MOCS2A adenylyltransferase); Molybdopterin-synthase sulfurtransferase (EC 2.8.1.11) (Sulfur carrier protein MOCS2A sulfurtransferase) (Sulfurtransferase MOCS3)]	MOCS3 UBA4	Homo sapiens (Human)	460
Q9HC07	Q9HC07	TM165_HUMAN	reviewed	Transmembrane protein 165 (Transmembrane protein PT27) (Transmembrane protein TPARL)	TMEM165 TPARL	Homo sapiens (Human)	324
Q9H2G2	Q9H2G2	SLK_HUMAN	reviewed	STE20-like serine/threonine-protein kinase (STE20-like kinase) (hSLK) (EC 2.7.11.1) (CTCL tumor antigen se20-9) (STE20-related serine/threonine-protein kinase) (STE20-related kinase) (Serine/threonine-protein kinase 2)	SLK KIAA0204 STK2	Homo sapiens (Human)	1235
Q03989	Q03989	ARI5A_HUMAN	reviewed	AT-rich interactive domain-containing protein 5A (ARID domain-containing protein 5A) (Modulator recognition factor 1) (MRF-1)	ARID5A MRF1	Homo sapiens (Human)	594
Q9UJZ1	Q9UJZ1	STML2_HUMAN	reviewed	Stomatin-like protein 2, mitochondrial (SLP-2) (EPB72-like protein 2) (Paraprotein target 7) (Paratarg-7)	STOML2 SLP2 HSPC108	Homo sapiens (Human)	356
Q96DI7	Q96DI7	SNR40_HUMAN	reviewed	U5 small nuclear ribonucleoprotein 40 kDa protein (U5 snRNP 40 kDa protein) (U5-40K) (38 kDa-splicing factor) (Prp8-binding protein) (hPRP8BP) (U5 snRNP-specific 40 kDa protein) (WD repeat-containing protein 57)	SNRNP40 PRP8BP SFP38 WDR57	Homo sapiens (Human)	357
Q9NY15	Q9NY15	STAB1_HUMAN	reviewed	Stabilin-1 (Fasciclin, EGF-like, laminin-type EGF-like and link domain-containing scavenger receptor 1) (FEEL-1) (MS-1 antigen)	STAB1 FEEL1 KIAA0246	Homo sapiens (Human)	2570
P48426	P48426	PI42A_HUMAN	reviewed	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha (EC 2.7.1.149) (1-phosphatidylinositol 5-phosphate 4-kinase 2-alpha) (Diphosphoinositide kinase 2-alpha) (PIP5KIII) (Phosphatidylinositol 5-Phosphate 4-Kinase) (PI5P4Kalpha) (Phosphatidylinositol 5-phosphate 4-kinase type II alpha) (PI(5)P 4-kinase type II alpha) (PIP4KII-alpha) (PtdIns(4)P-5-kinase B isoform) (PtdIns(4)P-5-kinase C isoform) (PtdIns(5)P-4-kinase isoform 2-alpha)	PIP4K2A PI5P4KA PIP5K2 PIP5K2A	Homo sapiens (Human)	406
O95395	O95395	GCNT3_HUMAN	reviewed	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3 (EC 2.4.1.102) (EC 2.4.1.148) (EC 2.4.1.150) (C2GnT-mucin type) (C2GnT-M) (hC2GnT-M) (Core 2/core 4 beta-1,6-N-acetylglucosaminyltransferase) (C2/4GnT)	GCNT3	Homo sapiens (Human)	438
H0YB88	H0YB88	H0YB88_HUMAN	unreviewed	N-acetyltransferase ESCO2 (Fragment)	ESCO2	Homo sapiens (Human)	176
O95684	O95684	CEP43_HUMAN	reviewed	Centrosomal protein 43 (FGFR1 oncogene partner)	CEP43 FGFR1OP FOP	Homo sapiens (Human)	399
Q58FF3	Q58FF3	ENPLL_HUMAN	reviewed	Putative endoplasmin-like protein (Putative heat shock protein 90 kDa beta member 2)	HSP90B2P GRP94B GRP94P1 TRAP1	Homo sapiens (Human)	399
O15397	O15397	IPO8_HUMAN	reviewed	Importin-8 (Imp8) (Ran-binding protein 8) (RanBP8)	IPO8 RANBP8	Homo sapiens (Human)	1037
Q9Y2F5	Q9Y2F5	ICE1_HUMAN	reviewed	Little elongation complex subunit 1 (Interactor of little elongator complex ELL subunit 1)	ICE1 KIAA0947	Homo sapiens (Human)	2266
O60814	O60814	H2B1K_HUMAN	reviewed	Histone H2B type 1-K (H2B K) (HIRA-interacting protein 1)	H2BC12 H2BFT HIRIP1 HIST1H2BK	Homo sapiens (Human)	126
Q03169	Q03169	TNAP2_HUMAN	reviewed	Tumor necrosis factor alpha-induced protein 2 (TNF alpha-induced protein 2) (Primary response gene B94 protein)	TNFAIP2	Homo sapiens (Human)	654
Q9H2U1	Q9H2U1	DHX36_HUMAN	reviewed	ATP-dependent DNA/RNA helicase DHX36 (EC 3.6.4.12) (EC 3.6.4.13) (DEAD/H box polypeptide 36) (DEAH-box protein 36) (G4-resolvase-1) (G4R1) (MLE-like protein 1) (RNA helicase associated with AU-rich element protein)	DHX36 DDX36 KIAA1488 MLEL1 RHAU	Homo sapiens (Human)	1008
Q13243	Q13243	SRSF5_HUMAN	reviewed	Serine/arginine-rich splicing factor 5 (Delayed-early protein HRS) (Pre-mRNA-splicing factor SRP40) (Splicing factor, arginine/serine-rich 5)	SRSF5 HRS SFRS5 SRP40	Homo sapiens (Human)	272
Q9C0C9	Q9C0C9	UBE2O_HUMAN	reviewed	(E3-independent) E2 ubiquitin-conjugating enzyme (EC 2.3.2.24) (E2/E3 hybrid ubiquitin-protein ligase UBE2O) (Ubiquitin carrier protein O) (Ubiquitin-conjugating enzyme E2 O) (Ubiquitin-conjugating enzyme E2 of 230 kDa) (Ubiquitin-conjugating enzyme E2-230K) (Ubiquitin-protein ligase O)	UBE2O KIAA1734	Homo sapiens (Human)	1292
Q9H0L4	Q9H0L4	CSTFT_HUMAN	reviewed	Cleavage stimulation factor subunit 2 tau variant (CF-1 64 kDa subunit tau variant) (Cleavage stimulation factor 64 kDa subunit tau variant) (CSTF 64 kDa subunit tau variant) (TauCstF-64)	CSTF2T KIAA0689	Homo sapiens (Human)	616
O60260-1,O60260	O60260	PRKN_HUMAN	reviewed	E3 ubiquitin-protein ligase parkin (Parkin) (EC 2.3.2.31) (Parkin RBR E3 ubiquitin-protein ligase) (Parkinson juvenile disease protein 2) (Parkinson disease protein 2)	PRKN PARK2	Homo sapiens (Human)	465
Q00534	Q00534	CDK6_HUMAN	reviewed	Cyclin-dependent kinase 6 (EC 2.7.11.22) (Cell division protein kinase 6) (Serine/threonine-protein kinase PLSTIRE)	CDK6 CDKN6	Homo sapiens (Human)	326
O95429,O95429-1	O95429	BAG4_HUMAN	reviewed	BAG family molecular chaperone regulator 4 (BAG-4) (Bcl-2-associated athanogene 4) (Silencer of death domains)	BAG4 SODD	Homo sapiens (Human)	457
P31943	P31943	HNRH1_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein H (hnRNP H) [Cleaved into: Heterogeneous nuclear ribonucleoprotein H, N-terminally processed]	HNRNPH1 HNRPH HNRPH1	Homo sapiens (Human)	449
Q96LA8	Q96LA8	ANM6_HUMAN	reviewed	Protein arginine N-methyltransferase 6 (EC 2.1.1.319) (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 6) (Histone-arginine N-methyltransferase PRMT6)	PRMT6 HRMT1L6	Homo sapiens (Human)	375
Q9BQ70	Q9BQ70	TCF25_HUMAN	reviewed	Transcription factor 25 (TCF-25) (Nuclear localized protein 1)	TCF25 KIAA1049 NULP1 FKSG26	Homo sapiens (Human)	676
Q9NWX5	Q9NWX5	ASB6_HUMAN	reviewed	Ankyrin repeat and SOCS box protein 6 (ASB-6)	ASB6	Homo sapiens (Human)	421
K7ESD3	K7ESD3	K7ESD3_HUMAN	unreviewed	Zinc finger and SCAN domain-containing protein 5B (Fragment)	ZSCAN5B	Homo sapiens (Human)	137
Q86VK4	Q86VK4	ZN410_HUMAN	reviewed	Zinc finger protein 410 (Another partner for ARF 1)	ZNF410 APA1	Homo sapiens (Human)	478
Q6P4E1	Q6P4E1	GOLM2_HUMAN	reviewed	Protein GOLM2 (Cancer susceptibility candidate gene 4 protein) (CASC4) (Golgi membrane protein 2)	GOLM2 CASC4 UNQ2573/PRO6308	Homo sapiens (Human)	436
A0A0A0MRF8	A0A0A0MRF8	A0A0A0MRF8_HUMAN	unreviewed	60S ribosomal protein L17	RPL17-C18orf32	Homo sapiens (Human)	190
Q14590	Q14590	ZN235_HUMAN	reviewed	Zinc finger protein 235 (Zinc finger protein 270) (Zinc finger protein 93 homolog) (Zfp-93) (Zinc finger protein HZF6)	ZNF235 ZFP93 ZNF270	Homo sapiens (Human)	738
Q8IVS8	Q8IVS8	GLCTK_HUMAN	reviewed	Glycerate kinase (EC 2.7.1.31) (HBeAg-binding protein 4)	GLYCTK HBEBP4 LP5910	Homo sapiens (Human)	523
Q13042	Q13042	CDC16_HUMAN	reviewed	Cell division cycle protein 16 homolog (Anaphase-promoting complex subunit 6) (APC6) (CDC16 homolog) (CDC16Hs) (Cyclosome subunit 6)	CDC16 ANAPC6	Homo sapiens (Human)	620
Q8NCL4	Q8NCL4	GALT6_HUMAN	reviewed	Polypeptide N-acetylgalactosaminyltransferase 6 (EC 2.4.1.41) (Polypeptide GalNAc transferase 6) (GalNAc-T6) (pp-GaNTase 6) (Protein-UDP acetylgalactosaminyltransferase 6) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 6)	GALNT6	Homo sapiens (Human)	622
O94986	O94986	CE152_HUMAN	reviewed	Centrosomal protein of 152 kDa (Cep152)	CEP152 KIAA0912	Homo sapiens (Human)	1710
Q9H987	Q9H987	SYP2L_HUMAN	reviewed	Synaptopodin 2-like protein	SYNPO2L	Homo sapiens (Human)	977
Q9Y2H8	Q9Y2H8	ZN510_HUMAN	reviewed	Zinc finger protein 510	ZNF510 KIAA0972	Homo sapiens (Human)	683
P07864	P07864	LDHC_HUMAN	reviewed	L-lactate dehydrogenase C chain (LDH-C) (EC 1.1.1.27) (Cancer/testis antigen 32) (CT32) (LDH testis subunit) (LDH-X)	LDHC LDH3 LDHX	Homo sapiens (Human)	332
P53671	P53671	LIMK2_HUMAN	reviewed	LIM domain kinase 2 (LIMK-2) (EC 2.7.11.1)	LIMK2	Homo sapiens (Human)	638
P26998	P26998	CRBB3_HUMAN	reviewed	Beta-crystallin B3 (Beta-B3 crystallin) [Cleaved into: Beta-crystallin B3, N-terminally processed]	CRYBB3 CRYB3	Homo sapiens (Human)	211
Q7KZ85-1,Q7KZ85	Q7KZ85	SPT6H_HUMAN	reviewed	Transcription elongation factor SPT6 (hSPT6) (Histone chaperone suppressor of Ty6) (Tat-cotransactivator 2 protein) (Tat-CT2 protein)	SUPT6H KIAA0162 SPT6H	Homo sapiens (Human)	1726
Q93062	Q93062	RBPMS_HUMAN	reviewed	RNA-binding protein with multiple splicing (RBP-MS) (Heart and RRM expressed sequence) (Hermes)	RBPMS HERMES	Homo sapiens (Human)	196
Q9UDR5	Q9UDR5	AASS_HUMAN	reviewed	Alpha-aminoadipic semialdehyde synthase, mitochondrial (LKR/SDH) [Includes: Lysine ketoglutarate reductase (LKR) (LOR) (EC 1.5.1.8); Saccharopine dehydrogenase (SDH) (EC 1.5.1.9)]	AASS	Homo sapiens (Human)	926
O00161	O00161	SNP23_HUMAN	reviewed	Synaptosomal-associated protein 23 (SNAP-23) (Vesicle-membrane fusion protein SNAP-23)	SNAP23	Homo sapiens (Human)	211
Q9NXR1,Q9NXR1-2	Q9NXR1	NDE1_HUMAN	reviewed	Nuclear distribution protein nudE homolog 1 (NudE)	NDE1 NUDE	Homo sapiens (Human)	335
Q99880	Q99880	H2B1L_HUMAN	reviewed	Histone H2B type 1-L (Histone H2B.c) (H2B/c)	H2BC13 H2BFC HIST1H2BL	Homo sapiens (Human)	126
Q9Y282	Q9Y282	ERGI3_HUMAN	reviewed	Endoplasmic reticulum-Golgi intermediate compartment protein 3 (Serologically defined breast cancer antigen NY-BR-84)	ERGIC3 C20orf47 ERV46 SDBCAG84 CGI-54 PRO0989	Homo sapiens (Human)	383
P23142,P23142-1	P23142	FBLN1_HUMAN	reviewed	Fibulin-1 (FIBL-1)	FBLN1 PP213	Homo sapiens (Human)	703
Q9BTM1	Q9BTM1	H2AJ_HUMAN	reviewed	Histone H2A.J (H2a/j)	H2AJ H2AFJ	Homo sapiens (Human)	129
Q5T440	Q5T440	CAF17_HUMAN	reviewed	Putative transferase CAF17, mitochondrial (EC 2.1.-.-) (Iron-sulfur cluster assembly factor homolog)	IBA57 C1orf69	Homo sapiens (Human)	356
O00487	O00487	PSDE_HUMAN	reviewed	26S proteasome non-ATPase regulatory subunit 14 (EC 3.4.19.-) (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1)	PSMD14 POH1	Homo sapiens (Human)	310
P51665	P51665	PSMD7_HUMAN	reviewed	26S proteasome non-ATPase regulatory subunit 7 (26S proteasome regulatory subunit RPN8) (26S proteasome regulatory subunit S12) (Mov34 protein homolog) (Proteasome subunit p40)	PSMD7 MOV34L	Homo sapiens (Human)	324
Q9BQ16	Q9BQ16	TICN3_HUMAN	reviewed	Testican-3 (SPARC/osteonectin, CWCV, and Kazal-like domains proteoglycan 3)	SPOCK3 TICN3 UNQ409/PRO771	Homo sapiens (Human)	436
Q8NC54	Q8NC54	KCT2_HUMAN	reviewed	Keratinocyte-associated transmembrane protein 2	KCT2 C5orf15 HTGN29	Homo sapiens (Human)	265
O95985	O95985	TOP3B_HUMAN	reviewed	DNA topoisomerase 3-beta-1 (EC 5.6.2.1) (DNA topoisomerase III beta-1)	TOP3B TOP3B1	Homo sapiens (Human)	862
Q8WWN8	Q8WWN8	ARAP3_HUMAN	reviewed	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3 (Centaurin-delta-3) (Cnt-d3)	ARAP3 CENTD3	Homo sapiens (Human)	1544
Q96LI6	Q96LI6	HSFY1_HUMAN	reviewed	Heat shock transcription factor, Y-linked (Heat shock transcription factor 2-like protein) (HSF2-like)	HSFY1 HSF2L HSFY; HSFY2 HSF2L HSFY	Homo sapiens (Human)	401
Q92988	Q92988	DLX4_HUMAN	reviewed	Homeobox protein DLX-4 (Beta protein 1) (Homeobox protein DLX-7) (Homeobox protein DLX-8)	DLX4 BP1 DLX7 DLX8 DLX9	Homo sapiens (Human)	240
Q9UHB7	Q9UHB7	AFF4_HUMAN	reviewed	AF4/FMR2 family member 4 (ALL1-fused gene from chromosome 5q31 protein) (Protein AF-5q31) (Major CDK9 elongation factor-associated protein)	AFF4 AF5Q31 MCEF HSPC092	Homo sapiens (Human)	1163
Q9NYZ3	Q9NYZ3	GTSE1_HUMAN	reviewed	G2 and S phase-expressed protein 1 (GTSE-1) (Protein B99 homolog)	GTSE1	Homo sapiens (Human)	720
P37268	P37268	FDFT_HUMAN	reviewed	Squalene synthase (SQS) (SS) (EC 2.5.1.21) (FPP:FPP farnesyltransferase) (Farnesyl-diphosphate farnesyltransferase) (Farnesyl-diphosphate farnesyltransferase 1)	FDFT1	Homo sapiens (Human)	417
P78543	P78543	BTG2_HUMAN	reviewed	Protein BTG2 (BTG family member 2) (NGF-inducible anti-proliferative protein PC3)	BTG2 PC3	Homo sapiens (Human)	158
Q9UJM3	Q9UJM3	ERRFI_HUMAN	reviewed	ERBB receptor feedback inhibitor 1 (Mitogen-inducible gene 6 protein) (MIG-6)	ERRFI1 MIG6	Homo sapiens (Human)	462
Q8N3A8	Q8N3A8	PARP8_HUMAN	reviewed	Protein mono-ADP-ribosyltransferase PARP8 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 16) (ARTD16) (Poly [ADP-ribose] polymerase 8) (PARP-8)	PARP8	Homo sapiens (Human)	854
A6NK97	A6NK97	S22AK_HUMAN	reviewed	Solute carrier family 22 member 20 (Organic anion transporter 6) (Solute carrier family 22 member 20 pseudogene)	SLC22A20P OAT6 SLC22A20	Homo sapiens (Human)	555
Q8HHH1	Q8HHH1	Q8HHH1_HUMAN	unreviewed	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2) (Fragment)		Homo sapiens (Human)	318
P31150	P31150	GDIA_HUMAN	reviewed	Rab GDP dissociation inhibitor alpha (Rab GDI alpha) (Guanosine diphosphate dissociation inhibitor 1) (GDI-1) (Oligophrenin-2) (Protein XAP-4)	GDI1 GDIL OPHN2 RABGDIA XAP4	Homo sapiens (Human)	447
H3BN64	H3BN64	H3BN64_HUMAN	unreviewed	Abscission/NoCut checkpoint regulator (Fragment)	ZFYVE19	Homo sapiens (Human)	271
Q5BJH7	Q5BJH7	YIF1B_HUMAN	reviewed	Protein YIF1B (YIP1-interacting factor homolog B)	YIF1B PP4519 UNQ3073/PRO9905	Homo sapiens (Human)	314
O15357	O15357	SHIP2_HUMAN	reviewed	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 (EC 3.1.3.86) (Inositol polyphosphate phosphatase-like protein 1) (INPPL-1) (Protein 51C) (SH2 domain-containing inositol 5'-phosphatase 2) (SH2 domain-containing inositol phosphatase 2) (SHIP-2)	INPPL1 SHIP2	Homo sapiens (Human)	1258
Q9NXE8	Q9NXE8	CWC25_HUMAN	reviewed	Pre-mRNA-splicing factor CWC25 homolog (Coiled-coil domain-containing protein 49) (Spliceosome-associated protein homolog CWC25)	CWC25 CCDC49	Homo sapiens (Human)	425
Q9UNY4	Q9UNY4	TTF2_HUMAN	reviewed	Transcription termination factor 2 (EC 3.6.4.-) (Lodestar homolog) (RNA polymerase II termination factor) (Transcription release factor 2) (F2) (HuF2)	TTF2	Homo sapiens (Human)	1162
Q14676	Q14676	MDC1_HUMAN	reviewed	Mediator of DNA damage checkpoint protein 1 (Nuclear factor with BRCT domains 1)	MDC1 KIAA0170 NFBD1	Homo sapiens (Human)	2089
V9HW24	V9HW24	V9HW24_HUMAN	unreviewed	Epididymis secretory protein Li 73	HEL-S-73	Homo sapiens (Human)	389
Q9HC85	Q9HC85	Q9HC85_HUMAN	unreviewed	Metastasis related protein (Fragment)	MB2	Homo sapiens (Human)	92
Q6ZNJ0	Q6ZNJ0	Q6ZNJ0_HUMAN	unreviewed	FLJ00362 protein (Fragment)	FLJ00362	Homo sapiens (Human)	638
Q9P2Y5	Q9P2Y5	UVRAG_HUMAN	reviewed	UV radiation resistance-associated gene protein (p63)	UVRAG	Homo sapiens (Human)	699
P11465	P11465	PSG2_HUMAN	reviewed	Pregnancy-specific beta-1-glycoprotein 2 (PS-beta-G-2) (PSBG-2) (Pregnancy-specific glycoprotein 2) (Pregnancy-specific beta-1 glycoprotein E) (PS-beta-E)	PSG2 PSBG2	Homo sapiens (Human)	335
Q3LID9	Q3LID9	Q3LID9_HUMAN	unreviewed	Uncharacterized protein Nbla00650 (Fragment)	Nbla00650	Homo sapiens (Human)	381
Q96H12	Q96H12	MSD3_HUMAN	reviewed	Myb/SANT-like DNA-binding domain-containing protein 3	MSANTD3 C9orf30 L8	Homo sapiens (Human)	275
Q6ZR29	Q6ZR29	Q6ZR29_HUMAN	unreviewed	cDNA FLJ46702 fis, clone TRACH3014183		Homo sapiens (Human)	1433
Q8WXA3	Q8WXA3	RUFY2_HUMAN	reviewed	RUN and FYVE domain-containing protein 2 (Rab4-interacting protein related)	RUFY2 KIAA1537 RABIP4R	Homo sapiens (Human)	606
O43760	O43760	SNG2_HUMAN	reviewed	Synaptogyrin-2 (Cellugyrin)	SYNGR2 UNQ352/PRO615	Homo sapiens (Human)	224
P52630	P52630	STAT2_HUMAN	reviewed	Signal transducer and activator of transcription 2 (p113)	STAT2	Homo sapiens (Human)	851
P09874	P09874	PARP1_HUMAN	reviewed	Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-)	PARP1 ADPRT PPOL	Homo sapiens (Human)	1014
Q9H7D0	Q9H7D0	DOCK5_HUMAN	reviewed	Dedicator of cytokinesis protein 5	DOCK5	Homo sapiens (Human)	1870
P18146	P18146	EGR1_HUMAN	reviewed	Early growth response protein 1 (EGR-1) (AT225) (Nerve growth factor-induced protein A) (NGFI-A) (Transcription factor ETR103) (Transcription factor Zif268) (Zinc finger protein 225) (Zinc finger protein Krox-24)	EGR1 KROX24 ZNF225	Homo sapiens (Human)	543
O95760	O95760	IL33_HUMAN	reviewed	Interleukin-33 (IL-33) (Interleukin-1 family member 11) (IL-1F11) (Nuclear factor from high endothelial venules) (NF-HEV) [Cleaved into: Interleukin-33 (95-270); Interleukin-33 (99-270); Interleukin-33 (109-270)]	IL33 C9orf26 IL1F11 NFHEV	Homo sapiens (Human)	270
D3DUJ0	D3DUJ0	D3DUJ0_HUMAN	unreviewed	AFG3 ATPase family gene 3-like 2 (Yeast), isoform CRA_a (Fragment)	AFG3L2 hCG_38275	Homo sapiens (Human)	759
P31431	P31431	SDC4_HUMAN	reviewed	Syndecan-4 (SYND4) (Amphiglycan) (Ryudocan core protein)	SDC4	Homo sapiens (Human)	198
C9JMU6	C9JMU6	C9JMU6_HUMAN	unreviewed	Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta (Fragment)	PPP2R3B	Homo sapiens (Human)	169
Q13217	Q13217	DNJC3_HUMAN	reviewed	DnaJ homolog subfamily C member 3 (Endoplasmic reticulum DNA J domain-containing protein 6) (ER-resident protein ERdj6) (ERdj6) (Interferon-induced, double-stranded RNA-activated protein kinase inhibitor) (Protein kinase inhibitor of 58 kDa) (Protein kinase inhibitor p58)	DNAJC3 P58IPK PRKRI	Homo sapiens (Human)	504
P15927	P15927	RFA2_HUMAN	reviewed	Replication protein A 32 kDa subunit (RP-A p32) (Replication factor A protein 2) (RF-A protein 2) (Replication protein A 34 kDa subunit) (RP-A p34)	RPA2 REPA2 RPA32 RPA34	Homo sapiens (Human)	270
P12277	P12277	KCRB_HUMAN	reviewed	Creatine kinase B-type (EC 2.7.3.2) (Brain creatine kinase) (B-CK) (Creatine kinase B chain) (Creatine phosphokinase B-type) (CPK-B)	CKB CKBB	Homo sapiens (Human)	381
Q14CZ7	Q14CZ7	FAKD3_HUMAN	reviewed	FAST kinase domain-containing protein 3, mitochondrial	FASTKD3	Homo sapiens (Human)	662
Q96FL9	Q96FL9	GLT14_HUMAN	reviewed	Polypeptide N-acetylgalactosaminyltransferase 14 (EC 2.4.1.41) (Polypeptide GalNAc transferase 14) (GalNAc-T14) (pp-GaNTase 14) (Protein-UDP acetylgalactosaminyltransferase 14) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 14)	GALNT14 UNQ2434/PRO4994	Homo sapiens (Human)	552
Q9Y512	Q9Y512	SAM50_HUMAN	reviewed	Sorting and assembly machinery component 50 homolog (Transformation-related gene 3 protein) (TRG-3)	SAMM50 SAM50 CGI-51 TRG3	Homo sapiens (Human)	469
P30622-1,P30622	P30622	CLIP1_HUMAN	reviewed	CAP-Gly domain-containing linker protein 1 (Cytoplasmic linker protein 1) (Cytoplasmic linker protein 170 alpha-2) (CLIP-170) (Reed-Sternberg intermediate filament-associated protein) (Restin)	CLIP1 CYLN1 RSN	Homo sapiens (Human)	1438
Q9HBU9	Q9HBU9	POPD2_HUMAN	reviewed	Popeye domain-containing protein 2 (Popeye protein 2)	POPDC2 POP2	Homo sapiens (Human)	364
O94788	O94788	AL1A2_HUMAN	reviewed	Retinal dehydrogenase 2 (RALDH 2) (RalDH2) (EC 1.2.1.36) (Aldehyde dehydrogenase family 1 member A2) (Retinaldehyde-specific dehydrogenase type 2) (RALDH(II))	ALDH1A2 RALDH2	Homo sapiens (Human)	518
A0A096LPB8	A0A096LPB8	A0A096LPB8_HUMAN	unreviewed	Small integral membrane protein 26	SMIM26	Homo sapiens (Human)	73
A0A024R277	A0A024R277	A0A024R277_HUMAN	unreviewed	Serine palmitoyltransferase, long chain base subunit 1, isoform CRA_a	SPTLC1 hCG_1985323	Homo sapiens (Human)	473
O00571-1,O00571	O00571	DDX3X_HUMAN	reviewed	ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (CAP-Rf) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (DBX) (Helicase-like protein 2) (HLP2)	DDX3X DBX DDX3	Homo sapiens (Human)	662
O43149	O43149	ZZEF1_HUMAN	reviewed	Zinc finger ZZ-type and EF-hand domain-containing protein 1	ZZEF1 KIAA0399	Homo sapiens (Human)	2961
Q15562	Q15562	TEAD2_HUMAN	reviewed	Transcriptional enhancer factor TEF-4 (TEA domain family member 2) (TEAD-2)	TEAD2 TEF4	Homo sapiens (Human)	447
Q9UFQ0	Q9UFQ0	Q9UFQ0_HUMAN	unreviewed	Uncharacterized protein DKFZp434K0435 (Fragment)	DKFZp434K0435	Homo sapiens (Human)	239
Q8IUH3	Q8IUH3	RBM45_HUMAN	reviewed	RNA-binding protein 45 (Developmentally-regulated RNA-binding protein 1) (RB-1) (RNA-binding motif protein 45)	RBM45 DRB1 DRBP1	Homo sapiens (Human)	476
Q8WV83	Q8WV83	S35F5_HUMAN	reviewed	Solute carrier family 35 member F5 (Hepatitis C virus NS5A-transactivated protein 3) (HCV NS5A-transactivated protein 3)	SLC35F5 NS5ATP3 UNQ2545/PRO6097	Homo sapiens (Human)	523
Q8WTW3	Q8WTW3	COG1_HUMAN	reviewed	Conserved oligomeric Golgi complex subunit 1 (COG complex subunit 1) (Component of oligomeric Golgi complex 1)	COG1 KIAA1381 LDLB	Homo sapiens (Human)	980
P04053	P04053	TDT_HUMAN	reviewed	DNA nucleotidylexotransferase (EC 2.7.7.31) (Terminal addition enzyme) (Terminal deoxynucleotidyltransferase) (Terminal transferase)	DNTT TDT	Homo sapiens (Human)	509
O95971	O95971	BY55_HUMAN	reviewed	CD160 antigen (Natural killer cell receptor BY55) (CD antigen CD160) [Cleaved into: CD160 antigen, soluble form]	CD160 BY55	Homo sapiens (Human)	181
Q53SE7	Q53SE7	Q53SE7_HUMAN	unreviewed	Germ cell-less homolog 1 (Drosophila) (Uncharacterized protein FLJ13057)	FLJ13057 GMCL1 hCG_40576	Homo sapiens (Human)	515
Q9H5L6	Q9H5L6	THAP9_HUMAN	reviewed	DNA transposase THAP9 (EC 2.7.7.-) (THAP domain-containing protein 9) (hTh9)	THAP9	Homo sapiens (Human)	903
Q15084-1,Q15084	Q15084	PDIA6_HUMAN	reviewed	Protein disulfide-isomerase A6 (EC 5.3.4.1) (Endoplasmic reticulum protein 5) (ER protein 5) (ERp5) (Protein disulfide isomerase P5) (Thioredoxin domain-containing protein 7)	PDIA6 ERP5 P5 TXNDC7	Homo sapiens (Human)	440
P56134	P56134	ATPK_HUMAN	reviewed	ATP synthase subunit f, mitochondrial (ATP synthase membrane subunit f)	ATP5MF ATP5J2 ATP5JL	Homo sapiens (Human)	94
B4DIP2	B4DIP2	B4DIP2_HUMAN	unreviewed	Erbin (cDNA FLJ58745, highly similar to Protein LAP2)	ERBIN	Homo sapiens (Human)	610
Q9P2D6	Q9P2D6	F135A_HUMAN	reviewed	Protein FAM135A	FAM135A KIAA1411	Homo sapiens (Human)	1515
